Order ID,Final Product Name,ReXI Fiber Required To Make Final Product,Individual_FibreQuantity,Total_FibreQuantity,PercentageOfTotal,Forecast_Units_Per_Product_of_10000,Individual_Forecast_FibreQuality_of_10000_Product,Total_Forecast_Fibre_For_All_Products
19875,Cosmo-Chic-20 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19876,Midnight-Muse-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.25,4081.25,0.03,3,3.75,16496
19877,Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75,4081.25,0.04,4,7,16496
19878,Soft-Girl-10 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.5,4081.25,0.04,4,6,16496
19879,Cosmo-Chic-20 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
19880,Urban-Wonder-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1,4081.25,0.02,2,2,16496
19881,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19881,Soft-Girl-12 Inches-Natural-Color,Rexi-straight-hair-18 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19882,Urban-Wonder-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1,4081.25,0.02,2,2,16496
19883,Soft-Girl-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.5,4081.25,0.04,4,6,16496
19884,Sweet-Siren-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
19885,Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75,4081.25,0.04,4,7,16496
19885,Soft-Madame-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
19885,Pop-Princess-22 Inches-Honey-Blonde,Rexi-straight-hair-24 Inches-Honey-Blonde,1.5,4081.25,0.04,4,6,16496
19886,Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75,4081.25,0.04,4,7,16496
